"","ukr","en","NOTES – use \n for newline","max length"
"streamingeventdesc_rain_gold","Йде золотий дощ","It's raining gold","",""
"streamingevent_rain_barrel","Бочковий Дощ","Barrel Rain","",""
"streamingeventdesc_rain_barrel","Бочки та інші вибухові речовини з'являються з нізвідки","Barrels and other explosives appear out of thin air","",""
"streamingevent_rain_hiisi","Дощ з Хійсі","Hiisi Rain","",""
"streamingeventdesc_rain_hiisi","З нізвідки з'являється купа Hiisi","A bunch of Hiisi appear out of thin air","",""
"streamingevent_rain_worm","Хробаковий Дощ","Worm Rain","",""
"streamingeventdesc_rain_worm","З нізвідки з'являються черв'яки","Worms appear out of thin air","",""
"streamingevent_rain_potion","Дощ Зілль","Potion Rain","",""
"streamingeventdesc_rain_potion","З нізвідки з'являються зілля","Potions appear out of thin air","",""
"streamingevent_rain_bomb","Бомбовий дощ","Bomb Rain","",""
"streamingeventdesc_rain_bomb","Бомби з'являються з нізвідки","Bombs appear out of thin air","",""
"streamingevent_gravity_player","Персональне гравітаційне поле","Personal Gravity Field","",""
"streamingeventdesc_gravity_player","Ви притягуєте снаряди на деякий час","You attract projectiles for a while","",""
"streamingevent_gravity_enemies","Гравітаційне Поле Істот","Creature Gravity Field","",""
"streamingeventdesc_gravity_enemies","Істоти на деякий час починають притягувати до себе снаряди","Creatures start attracting projectiles for a while","",""
"streamingevent_portal_east","Портал на Схід","Portal to East","",""
"streamingeventdesc_portal_east","Портал, що веде кудись далеко","A portal leading somewhere far away","",""
"streamingevent_portal_beginning","Портал на Поверхню","Portal to Surface","",""
"streamingeventdesc_portal_beginning","Портал, що веде на поверхню","A portal leading to the surface","",""
"streamingevent_portal_random","Портал в Якесь Місце","Portal to Some Place","",""
"streamingeventdesc_portal_random","Портал, що веде кудись","A portal leading somewhere","",""
"streamingevent_slow_enemies","Повільні істоти","Slow Creatures","",""
"streamingeventdesc_slow_enemies","Істоти сповільнюються","Creatures slow down","",""
"streamingevent_slow_player","Сповільнення","Slowdown","",""
"streamingeventdesc_slow_player","Ти сповільнюєшся.","You slow down","",""
"streamingevent_trail_water","Водяний Шлейф","Water Trail","",""
"streamingeventdesc_trail_water","Ваші снаряди залишають водяний шлейф","Your projectiles leave a trail of water","",""
"streamingevent_trail_oil","Нафтовий Шлейф","Oil Trail","",""
"streamingeventdesc_trail_oil","Ваші снаряди залишають масляний шлейф","Your projectiles leave a trail of oil","",""
"streamingevent_trail_acid","Кислотний Шлейф","Acid Trail","",""
"streamingeventdesc_trail_acid","Ваші снаряди залишають кислотний шлейф","Your projectiles leave a trail of acid","",""
"streamingevent_trail_fire","Вогняний Шлейф","Fire Trail","",""
"streamingeventdesc_trail_fire","Ваші снаряди залишають вогняний шлейф","Your projectiles leave a trail of fire","",""
"streamingevent_trail_lava","Лавовий Шлейф","Lava Trail","",""
"streamingeventdesc_trail_lava","Ваші снаряди залишають за собою лавовий шлейф","Your projectiles leave a trail of lava","",""
"streamingevent_trail_poison","Отруйний Шлейф","Poison Trail","",""
"streamingeventdesc_trail_poison","Ваші снаряди залишають отруйний шлейф","Your projectiles leave a trail of poison","",""
"streamingevent_trail_gunpowder","Пороховий Шлейф","Gunpowder Trail","",""
"streamingeventdesc_trail_gunpowder","Ваші снаряди залишають пороховий шлейф","Your projectiles leave a trail of gunpowder","",""
"streamingevent_trail_alcohol","Алкогольний Шлейф","Alcohol Trail","",""
"streamingeventdesc_trail_alcohol","Ваші снаряди залишають алкогольний шлейф","Your projectiles leave a trail of alcohol","",""
"streamingevent_player_trip","Подорож","Trip","",""
"streamingeventdesc_player_trip","Ви вирушаєте в подорож","You trip out","",""
"streamingevent_transmutation","Трансмутація","Transmutation","",""
"streamingeventdesc_transmutation","Навколишні матеріали на деякий час перетворюються на кислоту","Nearby materials transmute into acid for some time","",""
"streamingevent_slow_bullets","Час Кулі","Bullet Time","",""
"streamingeventdesc_slow_bullets","Снаряди значно сповільнюються","Projectiles slow down heavily","",""
"streamingevent_gravity","Гравітація снаряда","Projectile Gravity","",""
"streamingeventdesc_gravity","Ваші снаряди отримують додаткову гравітацію","Your projectiles gain extra gravity","",""
"streamingevent_antigravity","Антигравітація снаряда","Projectile Antigravity","",""
"streamingeventdesc_antigravity","Ваші снаряди отримують антигравітацію","Your projectiles gain antigravity","",""
"biomemodifierdesc_moist","Повітря надзвичайно вологе","The air feels extremely humid","",""
"biomemodifierdesc_fog_of_war_reappears","У цьому місці панує таємнича темрява","A mysterious darkness lingers in this place","",""
