,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length,,,,,,,,,,
menu_mods_modversion_newer,This mod has been built with a never version of the modding interface.\nA never version of the game might be required.,Этот режим разработан с новой версией интерфейса модификаций.\nУстановите новую версию игры.,Este mod foi criado com uma versão mais recente da interface de modificação.\nPode ser necessário ter uma versão mais recente do jogo instalada.,Este modificador se ha construido con una nueva versión de la interfaz de modificación.\nPuede que se necesite una nueva versión del juego.,Dieser Mod wurde mit einer neueren Version der Modding-Oberfläche erstellt.\nEine neuere Version des Spiels ist möglicherweise erforderlich.,Ce mod a été conçu avec une version plus récente de l'interface de mod.\nUne version plus récente du jeu peut être requise.,Questa mod è stata creata con una versione più recente dell'interfaccia di modding.\nPotrebbe essere necessaria una versione più recente del gioco.,Ten mod został zbudowany z nowszą wersją interfejsu modowania.\nMoże być do niego wymagana nowsza wersja gry.,此模组使用更新版本的模组接口制作。\n需要更新版本的游戏。,このMODは新しいバージョンのモデリングインターフェースで構築されています。\nゲームの新しいバージョンが必要になる可能性があります。,이 모드는 모드 인터페이스 신규 버전에서 제작되었습니다.\n신규 게임 버전이 필요합니다.,,,,,,,,,,,,,
menu_mods_incompatibilities,Mods (!),Моды (!),Mods (!),Modificadores (!),Mods (!),Mods (!),Mod (!),Mody (!),模组 (!),MOD (！),모드 (!),,,,,,,,,,,,,
menu_mods_incompatibilities_tooltip,Some mods have possible incompatibilities,У некоторых модов есть возможные несовместимости,Alguns mods têm possíveis incompatibilidades,Puede que algunos modificadores tengan incompatibilidades,Einige Mods haben mögliche Inkompatibilitäten,Certains mods sont peut-être incompatibles,Alcune mod potrebbero avere delle incompatibilità.,Niektóre mody mogą być niezgodne,部分模组可能不兼容,MODがゲームに非対応である可能性もあります,일부 모드에 호환 문제가 있습니다,,,,,,,,,,,,,
option_allowed,Allowed,Разрешены,Permitido,Permitido,Erlaubt,Autorisés,Consentite,Dozwolone,已允许,許可済み,허용됨,,,,,,,,,,,,,
option_disabled,Disabled,Запрещены,Desativado,Desactivado,Deaktiviert,Désactivés,Disabilitate,Wyłączone,已禁用,無効化,비활성화됨,,,,,,,,,,,,,
menu_newgame_selectgamemode,Select game mode,Выбрать мод,Escolher modo de jogo,Seleccionar modo de juego,Spielmodus auswählen,Sélectionner le mode de jeu,Seleziona modalità di gioco,Wybierz tryb gry,选择游戏模式,ゲームモードの選択,게임 모드 선택,,,,,,,,,,,,,
menu_quit,Quit,Выход,Sair,Salir,Beenden,Quitter,Esci,Wyjdź,退出,終了,종료,,,,,,,,,,,,,
menuautosave_text,Autosave found. Looks like the game crashed?\nShould the game attempt to restore the autosave?,"Найдено автосохранение. Похоже, игра дала сбой?\nПопробовать восстановить автосохранение?","Dados salvos automaticamente foram encontrados. Aparentemente, o jogo travou.\nTentar recuperar os dados salvos automaticamente?",Se ha encontrado un archivo de autoguardado. ¿Se ha caído el juego?\n¿Quieres que el juego intente recuperar el archivo de autoguardado?,"Auto-Speicherstand gefunden. Sieht aus, als wäre das Spiel abgestürzt.\nSoll das Spiel versuchen, den Auto-Speicherstand wiederherzustellen?",Sauvegarde auto trouvée. Le jeu semble avoir planté ?\nLe jeu doit-il tenter de restaurer la sauvegarde auto ?,Salvataggio automatico trovato. Sembra che il gioco si sia arrestato in maniera anomala.\nVuoi provare a ripristinare il salvataggio automatico?,"Znaleziono autozapis. Wygląda na to, że gra się zawiesiła.\nCzy gra ma spróbować przywrócić grę z autozapisu?",发现自动存档。是游戏崩溃了吗？\n是否需要尝试恢复自动存档？,自動保存データが見つかりました。ゲームがクラッシュしたようです。\n自動保存データでゲームを復元しますか？,자동 저장 내역이 있습니다. 게임이 충돌을 일으켰던 걸까요?\n게임에서 자동 저장을 복구할까요?,,,,,,,,,,,,,
menuautosave_text_mods,Some mods were enabled and might have caused the crash.,Некоторые подключенные моды могли вызвать сбой.,Alguns mods estavam ativados e podem ter sido a causa do problema.,"Se han activado algunos modificadores, y pueden haber causado la caída.",Einige Mods waren aktiviert und haben möglicherweise den Absturz verursacht.,Certains mods étaient activés et sont peut-être à l'origine du plantage.,Alcune mod erano abilitate e potrebbero aver causato l'arresto anomalo.,Włączone były mody – zawieszenie mogło być spowodowane przez któryś z nich.,启用了一些模组，崩溃可能因此造成。,有効なMODのどれかがクラッシュの原因となった可能性があります。,활성화된 모드 일부가 충돌을 일으켰을 수 있습니다.,,,,,,,,,,,,,
menuautosave_text_earlyaccess,"Noita is in early access, we'll try to fix this. :/",Noita находится в раннем доступе. Мы постараемся исправить эту ошибку :/,"Noita está em acesso antecipado, nós tentaremos resolver este problema. :/","Noita está en fase de acceso anticipado, intentaremos arreglarlo. :/","Noita ist im Early Access – wir werden versuchen, das zu beheben. :/",Noita est en accès anticipé. Nous allons tenter de résoudre ce problème. :/,"Noita è in fase di accesso anticipato, proveremo a risolvere questo problema. :/",Noita jest we wczesnym dostępie. Postaramy się naprawić ten problem. :/,《Noita》目前处于抢先体验阶段，我们会试着进行修复。:/,Noitaは早期アクセス段階です。修正に努めます。:/,"Noita는 현재 얼리 액세스 버전으로, 곧 수정하겠습니다.",,,,,,,,,,,,,
menuautosave_yes,Restore,Восстановить,Recuperar,Recuperar,Wiederherstellen,Restaurer,Ripristina,Przywróć,恢复,復元,복구하기,,,,,,,,,,,,,
menuautosave_no,Nah. Destroy it,Не надо. Можно его стереть,Destruir,Nop. Destrúyelo,Nein. Löschen,Non. La supprimer.,Nah. Eliminalo.,Nie. Zniszcz go.,不必，算了吧。,いいえ。破棄します,삭제하기,,,,,,,,,,,,,
menuoptions_configurecontrols_hint_gamepad,Press B on a control to reset it to default ,"Нажмите B на элементе управления, чтобы восстановить настройки по умолчанию. ",Aperte B em um controle para redefini-lo para o padrão. ,Pulsa B en un comando para cambiarlo a la configuración por defecto ,"B drücken, um Standardeinstellungen wiederherzustellen ",Appuyez sur le bouton B d'une commande pour la réinitialiser ,Premi B su un comando per reimpostarlo ai valori predefiniti. ,"Naciśnij B na przypisaniu, aby przywrócić ustawienia domyślne ",在控制项上按 B 键，将其重置为默认值 ,キーバインドでBを押してしてデフォルトにリセットしてください ,B를 클릭해 기본 설정으로 초기화 ,,,,,,,,,,,,,
menuoptions_configurecontrols_hint_keyboard,Right click on a key binding to reset it to default,"Щелкните правой кнопкой привязку клавиш, чтобы вернуть настройки по умолчанию.",Clique com o botão direito em um atalho para redefini-lo para o padrão.,Haz clic derecho en una tecla asignada para cambiarla a la configuración por defecto,"Rechtsklicken, um Standardeinstellungen wiederherzustellen",Faites un clic droit sur un raccourci pour la réinitialiser,Fai clic con il tasto destro su un tasto di scelta rapida per reimpostarlo ai valori predefiniti.,"Kliknij PPM na przypisaniu, aby przywrócić ustawienia domyślne",右键单击按键绑定，将其重置为默认值,キーバインドで右クリックしてデフォルトにリセットしてください,키 지정을 오른쪽 클릭하여 기본 설정으로 초기화,,,,,,,,,,,,,
menuoptions_privacypolicy,Privacy policy,Политика конфиденциальности,Política de privacidade,Política de privacidad,Datenschutzbestimmungen,Politique de confidentialité,Informativa sulla privacy,Polityka prywatności,隐私策略,プライバシーポリシー,개인정보 보호정책,,,,,,,,,,,,,
menuoptions_showhoverinfonexttomouse,Show hovered material/item name next to mouse: $0,Показывать название материала/предмета рядом с наведенным на него курсором: $0,Mostrar o material ou o nome do item sob o curso ao lado do mouse: $0,Mostrar nombre del material/objeto junto al ratón al pasarlo por encima: $0,Namen der Substanz/des Gegenstands neben der Maus anzeigen: $0,Afficher le nom du matériau ou de l'objet que vous survolez avec le curseur de la souris : $0,Mostra nome del materiale/oggetto al passaggio del cursore accanto al cursore: $0,Pokaż nazwę wskazanego przedmiotu/materiału obok kursora: $0,在鼠标旁显示悬浮的材料/物品名称：$0,マウスオーバーした資材/アイテム名をポインターの隣に表示: $0,마우스 커서 옆에 물질/아이템 이름 표시: $0,,,,,,,,,,,,,
menuoptions_replayrecorder_tooltip_exp,EXPERIMENTAL FEATURE\nPress $0 to save a replay at any point in the game.\n\nSetting “Replay budget” too high might decrease performance\nor make the game crash. Use at your own risk!,"ЭКСПЕРИМЕНТАЛЬНАЯ ФУНКЦИЯ\nНажмите $0, чтобы сохранить повтор в любой момент игры.\n\nСлишком высокое значение настройки «Ограничение на повторы» может повлиять на производительность\nили привести к сбою. Используйте на свой страх и риск!","RECURSO EXPERIMENTAL\nAperte $0 para salvar um replay em qualquer ponto do jogo.\n\nSe o “orçamento de replay” estiver configurado para ser muito alto, o desempenho poderá ser afetado\nou o jogo poderá travar. Use por sua conta e risco!","FUNCIÓN EXPERIMENTAL\nPulsa $0 para guardar una repetición en cualquier momento de la partida.\n\nEstablecer ""Tamaño de la repetición"" en un límite demasiado alto puede hacer que disminuya el rendimiento\no hacer que el juego se caiga. ¡Úsalo bajo tu propio riesgo!","EXPERIMENTELLE FUNKTION\nDrücke $0, um jederzeit eine Wiederholung zu speichern.\n\nEin zu hohes „Wiederholungsbudget“ kann die Leistung beeinträchtigen\noder zu Abstürzen führen. Benutzung auf eigene Gefahr!",FONCTIONNALITÉ EXPÉRIMENTALE\nAppuyez sur $0 pour sauvegarder une vidéo à tout moment du jeu.\n\nParamétrer une « allocation vidéos » trop élevée peut diminuer les performances\nou faire planter le jeu. Faites attention !,"FUNZIONALITÀ SPERIMENTALE\nPremi $0 per salvare un replay in qualsiasi punto del gioco.\n\nImpostare ""Memoria allocata replay"" al massimo potrebbe ridurre le prestazioni\no provocare un arresto anomalo del gioco. Utilizzala a tuo rischio e pericolo!","FUNKCJA EKSPERYMENTALNA\nNaciśnij $0, aby w dowolnym momencie gry zapisać powtórkę.\n\nUstawienie zbyt wysokiego „budżetu powtórki” może zmniejszyć wydajność gry\nlub spowodować jej zacięcie. Korzystasz z tej funkcji na własne ryzyko!",实验性功能\n在游戏中任意时点，按 $0 保存回放。\n\n将“回放预留内存”设置得过高可能影响性能\n或令游戏崩溃。产生风险请自行承担！,実験的機能\n「$0」を押すとゲームのどのポイントでもリプレイを保存することができます。\n\n「リプレイバジェット」を高く設定し過ぎるとパフォーマンス低下や\nゲームのクラッシュの原因となります。自己責任でご利用ください。,실험적 기능\n$0을(를) 눌러 게임 리플레이를 언제든 저장할 수 있습니다.\n\n'리플레이 크기'를 너무 크게 설정하면 성능이 저하되거나\n게임이 충돌할 수 있습니다. 책임은 사용자에게 있습니다!,,,,,,,,,,,,,
